API Name,Linux-on-demand,RHEL-on-demand,SLES-on-demand,Windows-on-demand,Windows SQL Web-on-demand,Windows SQL Std-on-demand,Windows SQL Ent-on-demand,Linux SQL Web-on-demand,Linux SQL Std-on-demand,Linux SQL Ent-on-demand,Linux-spot-min,Linux-spot-max,RHEL-spot-min,RHEL-spot-max,SLES-spot-min,SLES-spot-max,Windows-spot-min,Windows-spot-max,Linux-RI-1Y-NUF,RHEL-RI-1Y-NUF,SLES-RI-1Y-NUF,Windows-RI-1Y-NUF,Windows SQL Web-RI-1Y-NUF,Windows SQL Std-RI-1Y-NUF,Windows SQL Ent-RI-1Y-NUF,Linux SQL Web-RI-1Y-NUF,Linux SQL Std-RI-1Y-NUF,Linux SQL Ent-RI-1Y-NUF,Linux-RI-1Y-PUF,RHEL-RI-1Y-PUF,SLES-RI-1Y-PUF,Windows-RI-1Y-PUF,Windows SQL Web-RI-1Y-PUF,Windows SQL Std-RI-1Y-PUF,Windows SQL Ent-RI-1Y-PUF,Linux SQL Web-RI-1Y-PUF,Linux SQL Std-RI-1Y-PUF,Linux SQL Ent-RI-1Y-PUF,Linux-RI-1Y-AUF,RHEL-RI-1Y-AUF,SLES-RI-1Y-AUF,Windows-RI-1Y-AUF,Windows SQL Web-RI-1Y-AUF,Windows SQL Std-RI-1Y-AUF,Windows SQL Ent-RI-1Y-AUF,Linux SQL Web-RI-1Y-AUF,Linux SQL Std-RI-1Y-AUF,Linux SQL Ent-RI-1Y-AUF,Linux-RI-3Y-NUF,RHEL-RI-3Y-NUF,SLES-RI-3Y-NUF,Windows-RI-3Y-NUF,Windows SQL Web-RI-3Y-NUF,Windows SQL Std-RI-3Y-NUF,Windows SQL Ent-RI-3Y-NUF,Linux SQL Web-RI-3Y-NUF,Linux SQL Std-RI-3Y-NUF,Linux SQL Ent-RI-3Y-NUF,Linux-RI-3Y-PUF,RHEL-RI-3Y-PUF,SLES-RI-3Y-PUF,Windows-RI-3Y-PUF,Windows SQL Web-RI-3Y-PUF,Windows SQL Std-RI-3Y-PUF,Windows SQL Ent-RI-3Y-PUF,Linux SQL Web-RI-3Y-PUF,Linux SQL Std-RI-3Y-PUF,Linux SQL Ent-RI-3Y-PUF,Linux-RI-3Y-AUF,RHEL-RI-3Y-AUF,SLES-RI-3Y-AUF,Windows-RI-3Y-AUF,Windows SQL Web-RI-3Y-AUF,Windows SQL Std-RI-3Y-AUF,Windows SQL Ent-RI-3Y-AUF,Linux SQL Web-RI-3Y-AUF,Linux SQL Std-RI-3Y-AUF,Linux SQL Ent-RI-3Y-AUF,Linux-RIC-1Y-NUF,RHEL-RIC-1Y-NUF,SLES-RIC-1Y-NUF,Windows-RIC-1Y-NUF,Windows SQL Web-RIC-1Y-NUF,Windows SQL Std-RIC-1Y-NUF,Windows SQL Ent-RIC-1Y-NUF,Linux SQL Web-RIC-1Y-NUF,Linux SQL Std-RIC-1Y-NUF,Linux SQL Ent-RIC-1Y-NUF,Linux-RIC-1Y-PUF,RHEL-RIC-1Y-PUF,SLES-RIC-1Y-PUF,Windows-RIC-1Y-PUF,Windows SQL Web-RIC-1Y-PUF,Windows SQL Std-RIC-1Y-PUF,Windows SQL Ent-RIC-1Y-PUF,Linux SQL Web-RIC-1Y-PUF,Linux SQL Std-RIC-1Y-PUF,Linux SQL Ent-RIC-1Y-PUF,Linux-RIC-1Y-AUF,RHEL-RIC-1Y-AUF,SLES-RIC-1Y-AUF,Windows-RIC-1Y-AUF,Windows SQL Web-RIC-1Y-AUF,Windows SQL Std-RIC-1Y-AUF,Windows SQL Ent-RIC-1Y-AUF,Linux SQL Web-RIC-1Y-AUF,Linux SQL Std-RIC-1Y-AUF,Linux SQL Ent-RIC-1Y-AUF,Linux-RIC-3Y-NUF,RHEL-RIC-3Y-NUF,SLES-RIC-3Y-NUF,Windows-RIC-3Y-NUF,Windows SQL Web-RIC-3Y-NUF,Windows SQL Std-RIC-3Y-NUF,Windows SQL Ent-RIC-3Y-NUF,Linux SQL Web-RIC-3Y-NUF,Linux SQL Std-RIC-3Y-NUF,Linux SQL Ent-RIC-3Y-NUF,Linux-RIC-3Y-PUF,RHEL-RIC-3Y-PUF,SLES-RIC-3Y-PUF,Windows-RIC-3Y-PUF,Windows SQL Web-RIC-3Y-PUF,Windows SQL Std-RIC-3Y-PUF,Windows SQL Ent-RIC-3Y-PUF,Linux SQL Web-RIC-3Y-PUF,Linux SQL Std-RIC-3Y-PUF,Linux SQL Ent-RIC-3Y-PUF,Linux-RIC-3Y-AUF,RHEL-RIC-3Y-AUF,SLES-RIC-3Y-AUF,Windows-RIC-3Y-AUF,Windows SQL Web-RIC-3Y-AUF,Windows SQL Std-RIC-3Y-AUF,Windows SQL Ent-RIC-3Y-AUF,Linux SQL Web-RIC-3Y-AUF,Linux SQL Std-RIC-3Y-AUF,Linux SQL Ent-RIC-3Y-AUF,Linux SQL Std-RIC-3Y-AUF,Linux SQL Ent-RIC-3Y-AUF
c6gn.8xlarge,1.584,1.749,1.709,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.5232,0.5232,0.6532,0.6532,0.6482,0.6482,unavailable,unavailable,0.9996,1.1616,1.0596,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.952027,1.113963,1.011936,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.932991,1.094977,0.992922,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.7344,0.8931,0.7884,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.679992,0.838718,0.734009,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.639193,0.797907,0.693189,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.1928,1.3548,1.2528,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.136037,1.297973,1.195945,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.113242,1.275228,1.173174,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.88128,1.03998,0.93528,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.815991,0.974717,0.870008,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.799696,0.958371,0.853653,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c6gn.large,0.099,0.159,0.1553,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.0327,0.0327,0.0927,0.0927,0.089,0.089,unavailable,unavailable,0.06247,0.12247,0.08747,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.059545,0.119545,0.083987,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.058333,0.118265,0.083333,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.0459,0.1059,0.0679,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.042483,0.102483,0.064746,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.039954,0.099962,0.062443,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.07455,0.13455,0.09955,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.071002,0.131002,0.095445,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.069635,0.129566,0.094521,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.05508,0.11508,0.07708,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.050995,0.110995,0.073258,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.049962,0.10997,0.072489,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c6gn.medium,0.0495,0.1095,0.0805,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.0164,0.0164,0.0764,0.0764,0.0474,0.0474,unavailable,unavailable,0.03124,0.09124,0.04424,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.02971,0.08971,0.041989,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.02911,0.089155,0.041667,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.02295,0.08295,0.03395,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.021236,0.081236,0.032868,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.019977,0.079985,0.03124,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.03727,0.09727,0.05027,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.035444,0.095444,0.047723,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.034817,0.094749,0.047374,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.02754,0.08754,0.03854,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.025497,0.085497,0.037129,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.025,0.085008,0.036263,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c6gn.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c6gn.xlarge,0.198,0.293,0.2543,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.0654,0.0654,0.1254,0.1254,0.1217,0.1217,unavailable,unavailable,0.12495,0.21695,0.17495,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.118975,0.210979,0.168975,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.116667,0.208676,0.166553,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.0918,0.1805,0.1368,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.085004,0.173684,0.129492,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.079909,0.168607,0.124886,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.1491,0.2411,0.1991,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.142005,0.234009,0.192005,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.139155,0.231164,0.189155,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.11016,0.19886,0.15516,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.101989,0.190708,0.146516,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0.099962,0.188661,0.144939,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,13.782686,38.262671
c6i.12xlarge,2.352,2.517,2.477,4.56,5.3712,10.32,22.56,3.1632,8.112,20.352,0.7848,0.8004,0.9148,0.9304,0.9098,0.9254,2.9928,2.9928,1.56114,1.72314,1.62114,3.76914,4.58034,9.52914,21.76914,2.37234,7.32114,19.56114,1.486779,1.648829,1.546802,3.694774,4.505968,9.454797,21.694774,2.297973,7.246802,19.486779,1.457078,1.619064,1.517009,3.665068,4.476256,9.425114,21.665068,2.268265,7.217009,19.457078,1.06687,1.22557,1.12087,3.27487,4.08607,9.03487,21.27487,1.87807,6.82687,19.06687,0.987832,1.146558,1.041848,3.195827,4.007059,8.95585,21.195827,1.799025,6.747855,18.987832,0.928577,1.087253,0.982572,3.136568,3.947755,8.896575,21.136568,1.739764,6.688584,18.928577,1.7852,1.9472,1.8452,3.9932,4.8044,9.7532,21.9932,2.5964,7.5452,19.7852,1.700214,1.86215,1.760123,3.90821,4.719403,9.668232,21.90821,2.511408,7.460237,19.700214,1.66621,1.828196,1.726142,3.874201,4.685388,9.634132,21.874201,2.477397,7.426142,19.66621,1.21824,1.37694,1.27224,3.42624,4.23744,9.18624,21.42624,2.02944,6.97824,19.21824,1.128003,1.286691,1.181982,3.335998,4.147192,9.095983,21.335998,1.939197,6.887988,19.128003,1.105441,1.264155,1.159437,3.313432,4.124658,9.07344,21.313432,1.916629,6.865449,19.105441,13.643874,38.123858
c6i.16xlarge,3.136,3.301,3.261,6.08,7.1616,13.76,30.08,4.2176,10.816,27.136,1.0464,1.0464,1.1764,1.1764,1.1714,1.1714,3.9904,3.9904,2.08152,2.24352,2.14152,5.02552,6.10712,12.70552,29.02552,3.16312,9.76152,26.08152,1.98241,2.144346,2.042319,4.926442,6.007995,12.606396,28.926442,3.063963,9.662364,25.98241,1.942808,2.104795,2.00274,4.886758,5.968379,12.566781,28.886758,3.024315,9.622717,25.942808,1.42249,1.58119,1.47649,4.36649,5.44809,12.04649,28.36649,2.50409,9.10249,25.42249,1.317122,1.47581,1.3711,4.261116,5.342707,11.941108,28.261116,2.398713,8.997114,25.317122,1.23809,1.396804,1.292085,4.182078,5.263699,11.8621,28.182078,2.319711,8.918075,25.23809,2.38027,2.54227,2.44027,5.32427,6.40587,13.00427,29.32427,3.46187,10.06027,26.38027,2.266907,2.428958,2.32693,5.210939,6.292493,12.890894,29.210939,3.348575,9.946976,26.266907,2.221575,2.383562,2.281507,5.165639,6.247146,12.845548,29.165639,3.303196,9.901598,26.221575,1.62432,1.78302,1.67832,4.56832,5.64992,12.24832,28.56832,2.70592,9.30432,25.62432,1.504017,1.662705,1.557995,4.448011,5.529602,12.128003,28.448011,2.585608,9.184009,25.504017,1.473935,1.63261,1.527892,4.417922,5.499505,12.097907,28.417922,2.555518,9.153919,25.473935,2.551142,6.631126
c6i.24xlarge,4.704,4.869,4.829,9.12,10.7424,20.64,45.12,6.3264,16.224,40.704,1.5696,1.5696,1.6996,1.6996,1.6946,1.6946,5.9856,5.9856,3.12228,3.28428,3.18228,7.53828,9.16068,19.05828,43.53828,4.74468,14.64228,39.12228,2.973558,3.135608,3.033581,7.389549,9.01205,18.909595,43.389549,4.595945,14.493604,38.973558,2.914155,3.076142,2.974087,7.330137,8.952511,18.850114,43.330137,4.53653,14.434132,38.914155,2.13373,2.29243,2.18773,6.54973,8.17213,18.06973,42.54973,3.75613,13.65373,38.13373,1.975663,2.134389,2.02968,6.391692,8.01408,17.911662,42.391692,3.598089,13.495671,37.975663,1.857154,2.01583,1.911111,6.273135,7.895548,17.793151,42.273135,3.479528,13.377131,37.857154,3.5704,3.7324,3.6304,7.9864,9.6088,19.5064,43.9864,5.1928,15.0904,39.5704,3.400418,3.562354,3.460327,7.816409,9.438796,19.336341,43.816409,5.022806,14.92035,39.400418,3.33242,3.494406,3.392352,7.748402,9.370776,19.268379,43.748402,4.954795,14.852397,39.33242,2.43648,2.59518,2.49048,6.85248,8.47488,18.37248,42.85248,4.05888,13.95648,38.43648,2.256006,2.414694,2.309985,6.671997,8.294384,18.192005,42.671997,3.878393,13.776014,38.256006,2.210883,2.369597,2.264878,6.626865,8.249277,18.14688,42.626865,3.833295,13.730898,38.210883,unavailable,unavailable
c6i.2xlarge,0.392,0.522,0.517,0.76,0.8952,1.72,3.76,0.5272,1.352,3.392,0.1325,0.1327,0.2625,0.2627,0.2575,0.2577,0.4988,0.4988,0.26019,0.39019,0.32019,0.62819,0.76339,1.58819,3.62819,0.39539,1.22019,3.26019,0.247758,0.377758,0.307781,0.615777,0.750957,1.5758,3.615777,0.383053,1.207781,3.247758,0.242808,0.372831,0.30274,0.610845,0.746005,1.57089,3.610845,0.378082,1.202854,3.242808,0.17781,0.30781,0.23181,0.54581,0.68101,1.50581,3.54581,0.31301,1.13781,3.17781,0.164626,0.294626,0.218643,0.532644,0.667824,1.492629,3.532644,0.299844,1.124649,3.164626,0.154756,0.284779,0.208752,0.522755,0.657953,1.482763,3.522755,0.289954,1.114764,3.154756,0.29753,0.42753,0.35753,0.66553,0.80073,1.62553,3.66553,0.43273,1.25753,3.29753,0.283347,0.413347,0.343369,0.651365,0.786545,1.611388,3.651365,0.418527,1.243369,3.283347,0.27774,0.407648,0.337671,0.645662,0.780936,1.605708,3.645662,0.4129,1.237671,3.27774,0.20304,0.33304,0.25704,0.57104,0.70624,1.53104,3.57104,0.33824,1.16304,3.20304,0.187988,0.317988,0.242005,0.556006,0.691186,1.515991,3.556006,0.323206,1.148011,3.187988,0.184247,0.314231,0.238242,0.552245,0.687443,1.512253,3.552245,0.319444,1.144254,3.184247,5.818379,13.978387
c6i.32xlarge,6.272,6.437,6.397,12.16,14.3232,27.52,60.16,8.4352,21.632,54.272,2.0928,2.4819,2.2228,2.6119,2.2178,2.6069,7.9808,8.3705,4.16304,4.32504,4.22304,10.05104,12.21424,25.41104,58.05104,6.32624,19.52304,52.16304,3.96482,4.126756,4.024729,9.85277,12.015991,25.212793,57.85277,6.128041,19.324843,51.96482,3.885502,4.047489,3.945434,9.773516,11.936758,25.133447,57.773516,6.048744,19.245548,51.885502,2.84498,3.00368,2.89898,8.73298,10.89618,24.09298,56.73298,5.00818,18.20498,50.84498,2.634243,2.792931,2.688222,8.522231,10.685452,23.882254,56.522231,4.797426,17.994228,50.634243,2.47618,2.634893,2.530175,8.364193,10.527397,23.724201,56.364193,4.639384,17.836187,50.47618,4.76054,4.92254,4.82054,10.64854,12.81174,26.00854,58.64854,6.92374,20.12054,52.76054,4.533815,4.695865,4.593838,10.421879,12.584986,25.781788,58.421879,6.697036,19.893838,52.533815,4.443151,4.605137,4.503082,10.331164,12.494406,25.69121,58.331164,6.606393,19.803196,52.443151,3.24864,3.40734,3.30264,9.13664,11.29984,24.49664,57.13664,5.41184,18.60864,51.24864,3.007995,3.166683,3.062012,8.895983,11.059204,24.256006,56.895983,5.171216,18.368018,51.007995,2.947831,3.106545,3.001826,8.835845,10.999049,24.195852,56.835845,5.111035,18.307839,50.947831,2.28965,6.369673
c6i.4xlarge,0.784,0.914,0.909,1.52,1.7904,3.44,7.52,1.0544,2.704,6.784,0.2616,0.2805,0.3916,0.4105,0.3866,0.4055,0.9976,0.9976,0.52038,0.65038,0.58038,1.25638,1.52678,3.17638,7.25638,0.79078,2.44038,6.52038,0.495631,0.625631,0.55554,1.231553,1.502027,3.151599,7.231553,0.765991,2.415563,6.495631,0.485731,0.615639,0.545662,1.221689,1.492123,3.141667,7.221689,0.75605,2.405708,6.485731,0.35562,0.48562,0.40962,1.09162,1.36202,3.01162,7.09162,0.62602,2.27562,6.35562,0.32929,0.45929,0.383269,1.065288,1.335686,2.985296,7.065288,0.599688,2.249298,6.32929,0.309513,0.439536,0.363508,1.04551,1.315906,2.965525,7.04551,0.579909,2.229528,6.309513,0.59507,0.72507,0.65507,1.33107,1.60147,3.25107,7.33107,0.86547,2.51507,6.59507,0.566703,0.696703,0.626726,1.30274,1.5731,3.222786,7.30274,0.837177,2.486749,6.566703,0.555365,0.685388,0.615297,1.291438,1.561758,3.211416,7.291438,0.825799,2.475342,6.555365,0.40608,0.53608,0.46008,1.14208,1.41248,3.06208,7.14208,0.67648,2.32608,6.40608,0.376014,0.506014,0.429992,1.112012,1.38241,3.031982,7.112012,0.646412,2.295983,6.376014,0.368493,0.498478,0.422451,1.10449,1.374886,3.024467,7.10449,0.638889,2.28847,6.368493,4.783638,12.943645
c6i.8xlarge,1.568,1.733,1.693,3.04,3.5808,6.88,15.04,2.1088,5.408,13.568,0.5232,0.5232,0.6532,0.6532,0.6482,0.6482,1.9952,1.9952,1.04076,1.20276,1.10076,2.51276,3.05356,6.35276,14.51276,1.58156,4.88076,13.04076,0.991148,1.153198,1.051171,2.463221,3.004055,6.303198,14.463221,1.531982,4.831239,12.991148,0.971347,1.133333,1.031279,2.443379,2.984132,6.283333,14.443379,1.512215,4.811416,12.971347,0.71124,0.86994,0.76524,2.18324,2.72404,6.02324,14.18324,1.25204,4.55124,12.71124,0.658542,0.817268,0.712559,2.130577,2.671373,5.970554,14.130577,1.199376,4.498557,12.658542,0.619064,0.77774,0.673021,2.091058,2.631849,5.93105,14.091058,1.159855,4.459056,12.619064,1.19013,1.35213,1.25013,2.66213,3.20293,6.50213,14.66213,1.73093,5.03013,13.19013,1.133511,1.295447,1.193419,2.60547,3.146304,6.445447,14.60547,1.67423,4.973488,13.133511,1.110845,1.272831,1.170776,2.582763,3.12363,6.422831,14.582763,1.651598,4.950799,13.110845,0.81216,0.97086,0.86616,2.28416,2.82496,6.12416,14.28416,1.35296,4.65216,12.81216,0.751989,0.910715,0.806006,2.223986,2.764782,6.064002,14.223986,1.292785,4.592005,12.751989,0.736948,0.895662,0.790944,2.208942,2.749772,6.048973,14.208942,1.277778,4.576979,12.736948,unavailable,unavailable
c6i.large,0.098,0.158,0.1543,0.19,0.2576,0.67,unavailable,0.1656,0.578,unavailable,0.0327,0.0327,0.0927,0.0927,0.089,0.089,0.1247,0.1247,0.06505,0.12505,0.09005,0.15705,0.22465,0.63705,unavailable,0.13265,0.54505,unavailable,0.061906,0.121906,0.086463,0.153911,0.221501,0.633979,unavailable,0.129496,0.541975,unavailable,0.060731,0.120662,0.085731,0.15274,0.22032,0.632763,unavailable,0.128311,0.540753,unavailable,0.04445,0.10445,0.06645,0.13645,0.20405,0.61645,unavailable,0.11205,0.52445,unavailable,0.041166,0.101166,0.063391,0.133171,0.200761,0.613163,unavailable,0.108756,0.521158,unavailable,0.038699,0.098706,0.061187,0.130708,0.198288,0.610693,unavailable,0.106279,0.518683,unavailable,0.07438,0.13438,0.09938,0.16638,0.23398,0.64638,unavailable,0.14198,0.55438,unavailable,0.070808,0.130808,0.095365,0.162813,0.230403,0.642881,unavailable,0.138398,0.550877,unavailable,0.069406,0.129452,0.094406,0.161416,0.228995,0.641438,unavailable,0.136986,0.549429,unavailable,0.05076,0.11076,0.07276,0.14276,0.21036,0.62276,unavailable,0.11836,0.53076,unavailable,0.047016,0.107016,0.069241,0.138982,0.206611,0.619013,unavailable,0.114606,0.527008,unavailable,0.046043,0.10605,0.068569,0.138052,0.20567,0.618075,unavailable,0.113661,0.526065,unavailable,2.056773,5.116781
c6i.metal,6.272,6.437,6.397,12.16,14.3232,27.52,60.16,8.4352,21.632,54.272,2.0928,2.0928,2.2228,2.2228,2.2178,2.2178,7.9808,7.9808,4.16304,4.32504,4.22304,10.05104,12.21424,25.41104,58.05104,6.32624,19.52304,52.16304,3.96482,4.126756,4.024729,9.85277,12.015991,25.212793,57.85277,6.128041,19.324843,51.96482,3.885502,4.047489,3.945434,9.773516,11.936758,25.133447,57.773516,6.048744,19.245548,51.885502,2.84498,3.00368,2.89898,8.73298,10.89618,24.09298,56.73298,5.00818,18.20498,50.84498,2.634243,2.792931,2.688222,8.522231,10.685452,23.882254,56.522231,4.797426,17.994228,50.634243,2.47618,2.634893,2.530175,8.364193,10.527397,23.724201,56.364193,4.639384,17.836187,50.47618,4.76054,4.92254,4.82054,10.64854,12.81174,26.00854,58.64854,6.92374,20.12054,52.76054,4.533815,4.695865,4.593838,10.421879,12.584986,25.781788,58.421879,6.697036,19.893838,52.533815,4.443151,4.605137,4.503082,10.331164,12.494406,25.69121,58.331164,6.606393,19.803196,52.443151,3.24864,3.40734,3.30264,9.13664,11.29984,24.49664,57.13664,5.41184,18.60864,51.24864,3.007995,3.166683,3.062012,8.895983,11.059204,24.256006,56.895983,5.171216,18.368018,51.007995,2.947831,3.106545,3.001826,8.835845,10.999049,24.195852,56.835845,5.111035,18.307839,50.947831,2.424658,6.504642
c6i.xlarge,0.196,0.291,0.2523,0.38,0.4476,0.86,1.88,0.2636,0.676,1.696,0.0654,0.0654,0.1254,0.1254,0.1217,0.1217,0.2494,0.2494,0.13009,0.22209,0.18009,0.31409,0.38169,0.79409,1.81409,0.19769,0.61009,1.63009,0.123936,0.215941,0.173822,0.307945,0.375535,0.7879,1.807945,0.191526,0.603891,1.623936,0.121461,0.21347,0.171347,0.305365,0.373059,0.785388,1.805365,0.189041,0.60137,1.621461,0.08891,0.17761,0.13391,0.27291,0.34051,0.75291,1.77291,0.15651,0.56891,1.58891,0.082332,0.171012,0.126821,0.266303,0.333931,0.746334,1.766303,0.149922,0.562324,1.582332,0.077397,0.166096,0.122374,0.261377,0.328995,0.741362,1.761377,0.144977,0.557382,1.577397,0.14877,0.24077,0.19877,0.33277,0.40037,0.81277,1.83277,0.21637,0.62877,1.64877,0.14173,0.233735,0.191616,0.325625,0.393329,0.805694,1.825625,0.20932,0.621685,1.64173,0.138813,0.230822,0.188813,0.322831,0.390411,0.802854,1.822831,0.206393,0.618836,1.638813,0.10152,0.19022,0.14652,0.28552,0.35312,0.76552,1.78552,0.16912,0.58152,1.60152,0.093994,0.182712,0.138482,0.278003,0.345593,0.757995,1.778003,0.161584,0.573986,1.593994,0.092123,0.180822,0.1371,0.276104,0.343721,0.756126,1.776104,0.159703,0.572108,1.592123,6.998554,19.238584
c6id.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,6.820282,19.060274
